Protein A;Gene A;Protein B;Gene B;Score;PMID
P97432;NBR1;P47811;MAPK14;0.21;20616007 
P97432;NBR1;P62991;UBA52;0.081;19250911 
P62259;YWHAE;P16330;CNP;0.081;16615898 
Q6ZPJ3;UBE2O;P97432;NBR1;0.309;19427866 
Q8CIH5;PLCG2;P97432;NBR1;0.183;15102471 
Q9D1D4;TMED10;P97432;NBR1;0.309;19427866 
Q9JHS3;LAMTOR2;P97432;NBR1;0.309;19427866 
P97433;ARHGEF28;P62259;YWHAE;0.309;11533041 
P97433;ARHGEF28;P63101;YWHAZ;0.309;11533041 
P62259;YWHAE;P15626;GSTM2;0.081;16615898 
Q9DBH5;LMAN2;P62259;YWHAE;0.081;16615898 
Q9CWS0;DDAH1;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P15864;HIST1H1C;0.081;16615898 
P62259;YWHAE;P16125;LDHB;0.081;16615898 
P62259;YWHAE;P16045;LGALS1;0.081;16615898 
Q9CQT7;DESI1;P97440;SLBP;0.21;22370726 
P97443;SMYD1;O09106;HDAC1;0.21;11923873 
P97443;SMYD1;P02340;TP53;0.309;12011100 
P97443;SMYD1;P70288;HDAC2;0.21;11923873 
P97443;SMYD1;P70670;NACA;0.21;12011100 
Q60817;NACA;P97443;SMYD1;0.21;12011100 
P62259;YWHAE;P15919;RAG1;0.081;16615898 
Q8R0S4;CACNB4;P97445;CACNA1A;0.21;10328888 
Q8R3Z5;CACNB1;P97445;CACNA1A;0.21;10328888 
P62259;YWHAE;P16015;CA3;0.081;16615898 
P97447;FHL1;P26039;TLN1;0.21;18725486 
P97447;FHL1;P70196;TRAF6;0.183;15102471 
Q9Z2W9;GRIA3;P62259;YWHAE;0.081;16615898 
Q9WTQ5;AKAP12;P97447;FHL1;0.183;15102471 
P97449;ANPEP;P14094;ATP1B1;0.126;17205597 
Q01853;VCP;P97449;ANPEP;0.126;17205597 
Q9Z2Q6;SEPT5;P62259;YWHAE;0.081;16615898 
Q61847;MEP1B;P97449;ANPEP;0.126;17205597 
Q7M758;NAALADL1;P97449;ANPEP;0.126;17205597 
Q8K0P6;FCGBP;P97449;ANPEP;0.126;17205597 
Q8VDN2;ATP1A1;P97449;ANPEP;0.126;17205597 
P97454;SMAD5;O88559;MEN1;0.21;15150273 
Q3LHH8;ESP1;E9Q6I0;VMN2R116;0.21;23576433 
P97454;SMAD5;O88685;PSMC3;0.21;16101586 
P97454;SMAD5;O89091;KLF10;0.21;16101586 
P97454;SMAD5;P49135;ERCC3;0.21;16101586 
P97454;SMAD5;P50540;MXI1;0.21;16101586 
P97454;SMAD5;P70689;GJB6;0.21;16101586 
P97454;SMAD5;P97302;BACH1;0.21;16101586 
Q62073;MAP3K7;P97454;SMAD5;0.21;19536134 
Q9EQQ0;SUV39H2;P97454;SMAD5;0.309;15107829 
Q9JIW5;SMAD9;P97454;SMAD5;0.21;16101586 
Q9R0G7;ZEB2;P97454;SMAD5;0.183;20211142 
